"Acronym","Description_En","Description_Es","Description_Fr","Identifier","Name_En","Name_Es","Name_Fr","TimeseriesKey","Value"
"MEASURE","Observed measure unit (Tonnes - live weight)","Unidad de la medida observada (Toneladas - peso vivo)","Unité de la mesure observée (Tonnes - poids vif)","1001","Unit","Unidad","Unité","1001","Q"
"UNIT","Observed measure unit (Tonnes - live weight)","Unidad de la medida observada (Toneladas - peso vivo)","Unité de la mesure observée (Tonnes - poids vif)","1002","Unit","Unidad","Unité","1001","tlw"
"UNIT_MULTIPLIER","Exponent in base 10 (0=unit)","Exponente en base 10 (0=unidad)","Exposant en base 10 (0=unité)","1003","Unit multiplier","Multiplicador de unidad","Multiplicateur de unité","1001","0"
"MEASURE","Observed measure unit (USD 1 000)","Unidad de la medida observada (USD 1 000)","Unité de la mesure observée (USD 1 000)","1010","Unit","Unidad","Unité","1002","V"
"UNIT","Observed measure unit (USD 1 000)","Unidad de la medida observada (USD 1 000)","Unité de la mesure observée (USD 1 000)","1012","Unit","Unidad","Unité","1002","USD"
"UNIT_MULTIPLIER","Exponent in base 10 (3=thousand)","Exponente en base 10 (3=miles)","Exposant en base 10 (3=milliers)","1013","Unit multiplier","Multiplicador de unidad","Multiplicateur de unité","1002","3"
"MEASURE","Observed measure unit (Tonnes - live weight; number)","Unidad de la medida observada (Toneladas - peso vivo; número)","Unité de la mesure observée (Tonnes - poids vif; nombre)","2001","Unit","Unidad","Unité","2001","Q"
"MEASURE","Observed measure unit (Tonnes - live weight; number)","Unidad de la medida observada (Toneladas - peso vivo; número)","Unité de la mesure observée (Tonnes - poids vif; nombre)","3001","Unit","Unidad","Unité","3001","Q"
"MEASURE","Observed measure unit (Tonnes – net product weight)","Unidad de la medida observada (Toneladas – peso producto neto)","Unité de la mesure observée (Tonnes – poids produit net)","4001","Unit","Unidad","Unité","4001","Q"
"UNIT","Observed measure unit (Tonnes – net product weight)","Unidad de la medida observada (Toneladas – peso producto neto)","Unité de la mesure observée (Tonnes – poids produit net)","4002","Unit","Unidad","Unité","4001","tpw"
"UNIT_MULTIPLIER","Exponent in base 10 (0=unit)","Exponente en base 10 (0=unidad)","Exposant en base 10 (0=unité)","4003","Unit multiplier","Multiplicador de unidad","Multiplicateur de unité","4001","0"
"MEASURE","Observed measure unit (USD 1 000)","Unidad de la medida observada (USD 1 000)","Unité de la mesure observée (USD 1 000)","4011","Unit","Unidad","Unité","4002","V"
"UNIT","Observed measure unit (USD 1 000)","Unidad de la medida observada (USD 1 000)","Unité de la mesure observée (USD 1 000)","4012","Unit","Unidad","Unité","4002","USD"
"UNIT_MULTIPLIER","Exponent in base 10 (3=thousand)","Exponente en base 10 (3=miles)","Exposant en base 10 (3=milliers)","4013","Unit multiplier","Multiplicador de unidad","Multiplicateur de unité","4002","3"
"MEASURE","Observed measure unit (Tonnes - live weight)","Unidad de la medida observada (Toneladas - peso vivo)","Unité de la mesure observée (Tonnes - poids vif)","5001","Unit","Unidad","Unité","5001","Q"
"MEASURE","Observed measure unit (Tonnes)","Unidad de la medida observada (Toneladas)","Unité de la mesure observée (Tonnes)","5001","Unit","Unidad","Unité","9001","Q"
"MEASURE","Observed measure unit (Tonnes - live weight)","Unidad de la medida observada (Toneladas - peso vivo)","Unité de la mesure observée (Tonnes - poids vif)","5002","Unit","Unidad","Unité","6001","Q"
"MEASURE","Observed measure unit (Tonnes - live weight)","Unidad de la medida observada (Toneladas - peso vivo)","Unité de la mesure observée (Tonnes - poids vif)","5003","Unit","Unidad","Unité","7001","Q"
"MEASURE","Observed measure unit (Tonnes - live weight)","Unidad de la medida observada (Toneladas - peso vivo)","Unité de la mesure observée (Tonnes - poids vif)","5004","Unit","Unidad","Unité","8001","Q"
"MEASURE","Observed measure unit (Tonnes)","Unidad de la medida observada (Toneladas)","Unité de la mesure observée (Tonnes)","6001","Unit","Unidad","Unité","9001","Q"
"MEASURE","Observed measure unit (Thousands)","Unidad de la medida observada (Miles)","Unité de la mesure observée (Milliers)","6002","Unit","Unidad","Unité","9002","Q"
"MEASURE","Unit","Unidad","Unité","9001","Unit","Unidad","Unité","9003","Q_no_1"
"MEASURE","Observed measure unit (Tonnes – net product weight)","Unidad de la medida observada (Toneladas – peso producto neto)","Unité de la mesure observée (Tonnes – poids produit net)","11001","Unit","Unidad","Unité","11001","Q"
"UNIT","Observed measure unit (Tonnes – net product weight)","Unidad de la medida observada (Toneladas – peso producto neto)","Unité de la mesure observée (Tonnes – poids produit net)","11002","Unit","Unidad","Unité","11001","tpw"
"UNIT_MULTIPLIER","Exponent in base 10 (0=unit)","Exponente en base 10 (0=unidad)","Exposant en base 10 (0=unité)","11003","Unit multiplier","Multiplicador de unidad","Multiplicateur de unité","11001","0"
"MEASURE","Observed measure unit (USD 1 000)","Unidad de la medida observada (USD 1 000)","Unité de la mesure observée (USD 1 000)","11011","Unit","Unidad","Unité","11002","V"
"UNIT","Observed measure unit (USD 1 000)","Unidad de la medida observada (USD 1 000)","Unité de la mesure observée (USD 1 000)","11012","Unit","Unidad","Unité","11002","USD"
"UNIT_MULTIPLIER","Exponent in base 10 (3=thousand)","Exponente en base 10 (3=miles)","Exposant en base 10 (3=milliers)","11013","Unit multiplier","Multiplicador de unidad","Multiplicateur de unité","11002","3"
"MEASURE","Observed measure unit (Tonnes – net product weight)","Unidad de la medida observada (Toneladas – peso producto neto)","Unité de la mesure observée (Tonnes – poids produit net)","12001","Unit","Unidad","Unité","12001","Q"
"UNIT","Observed measure unit (Tonnes – net product weight)","Unidad de la medida observada (Toneladas – peso producto neto)","Unité de la mesure observée (Tonnes – poids produit net)","12002","Unit","Unidad","Unité","12001","tpw"
"UNIT_MULTIPLIER","Exponent in base 10 (0=unit)","Exponente en base 10 (0=unidad)","Exposant en base 10 (0=unité)","12003","Unit multiplier","Multiplicador de unidad","Multiplicateur de unité","12001","0"
"MEASURE","Observed measure unit (USD 1 000)","Unidad de la medida observada (USD 1 000)","Unité de la mesure observée (USD 1 000)","12005","Unit","Unidad","Unité","12005","V"
"UNIT","Observed measure unit (USD 1 000)","Unidad de la medida observada (USD 1 000)","Unité de la mesure observée (USD 1 000)","12006","Unit","Unidad","Unité","12005","USD"
"UNIT_MULTIPLIER","Exponent in base 10 (3=thousand)","Exponente en base 10 (3=miles)","Exposant en base 10 (3=milliers)","12007","Unit multiplier","Multiplicador de unidad","Multiplicateur de unité","12005","3"
"MEASURE","Observed measure unit (Tonnes – net product weight)","Unidad de la medida observada (Toneladas – peso producto neto)","Unité de la mesure observée (Tonnes – poids produit net)","12011","Unit","Unidad","Unité","12011","Q"
"UNIT","Observed measure unit (Tonnes – net product weight)","Unidad de la medida observada (Toneladas – peso producto neto)","Unité de la mesure observée (Tonnes – poids produit net)","12012","Unit","Unidad","Unité","12011","tpw"
"UNIT_MULTIPLIER","Exponent in base 10 (0=unit)","Exponente en base 10 (0=unidad)","Exposant en base 10 (0=unité)","12013","Unit multiplier","Multiplicador de unidad","Multiplicateur de unité","12011","0"
"MEASURE","Observed measure unit (USD 1 000)","Unidad de la medida observada (USD 1 000)","Unité de la mesure observée (USD 1 000)","12015","Unit","Unidad","Unité","12015","V"
"UNIT","Observed measure unit (USD 1 000)","Unidad de la medida observada (USD 1 000)","Unité de la mesure observée (USD 1 000)","12016","Unit","Unidad","Unité","12015","USD"
"UNIT_MULTIPLIER","Exponent in base 10 (3=thousand)","Exponente en base 10 (3=miles)","Exposant en base 10 (3=milliers)","12017","Unit multiplier","Multiplicador de unidad","Multiplicateur de unité","12015","3"
"MEASURE","Observed measure unit (Tonnes – net product weight)","Unidad de la medida observada (Toneladas – peso producto neto)","Unité de la mesure observée (Tonnes – poids produit net)","13001","Unit","Unidad","Unité","13001","Q"
"UNIT","Observed measure unit (Tonnes – net product weight)","Unidad de la medida observada (Toneladas – peso producto neto)","Unité de la mesure observée (Tonnes – poids produit net)","13002","Unit","Unidad","Unité","13001","tpw"
"UNIT_MULTIPLIER","Exponent in base 10 (0=unit)","Exponente en base 10 (0=unidad)","Exposant en base 10 (0=unité)","13003","Unit multiplier","Multiplicador de unidad","Multiplicateur de unité","13001","0"
