"Identifier","MeasureKey","MeasurePrefix","TimeseriesKey","Value"
"1011","9992","","1010","Q_tlw"
"1012","901","","1010",""
"1013","902","","1010",""
"1021","9992","","1020","V_USD_1000"
"1022","901","","1020",""
"1023","902","","1020",""
"1030","9992","","1030","Q_no_1,Q_tlw"
"1032","901","QUANTITY","1030",""
"1033","902","QUANTITY","1030",""
"1035","901","VALUE","1030",""
"1036","902","VALUE","1030",""
"2001","9992","","2001","Q_no_1,Q_tlw"
"2002","901","","2001",""
"2003","902","","2001",""
"3001","9992","","3001","Q_no_1,Q_tlw"
"3002","901","","3001",""
"3003","902","","3001",""
"5001","9992","","5001","Q_tlw"
"5002","901","","5001",""
"5003","902","","5001",""
"6001","9992","","6001","Q_tlw"
"6002","901","","6001",""
"6003","902","","6001",""
"7001","9992","","7001","Q_tlw"
"7002","901","","7001",""
"7003","902","","7001",""
"8001","9992","","8001","Q_tlw"
"8002","901","","8001",""
"8003","902","","8001",""
"9001","9992","","9001","Q_tlw"
"9002","901","","9001",""
"9003","902","","9001",""
"9011","9992","","9011","Q_no_1000"
"9012","901","","9011",""
"9013","902","","9011",""
"11001","9992","","11001","Q_tpw"
"11002","901","","11001",""
"11003","902","","11001",""
"11011","9992","","11011","V_USD_1000"
"11012","901","","11011",""
"11013","902","","11011",""
"12001","9992","","12001","Q_tpw"
"12002","901","","12001",""
"12003","902","","12001",""
"12005","9992","","12015","V_USD_1000"
"12006","901","","12015",""
"12007","902","","12015",""
"12011","9992","","12011","Q_tpw"
"12012","901","","12011",""
"12013","902","","12011",""
"13001","9992","","13001","Q_tpw"
"13002","901","","13001",""
"13003","902","","13001",""
"19001","9992","","19001","Q_no_1"
"19002","901","","19001",""
"19003","902","","19001",""
