"Code","Description_En","Description_Es","Description_Fr","Identifier","Multiplier","Name_Ar","Name_Cn","Name_En","Name_Es","Name_Fr","Name_Ru","SWS_Unit","Unit"
"Q_t_1","Observed measure unit (Tonnes)","Unidad de la medida observada (Toneladas)","Unité de la mesure observée (Tonnes)","1","1","","","Tonnes","Toneladas","Tonnes","","FI_001","t"
"V_USD_1000","Observed measure unit (USD 1 000)","Unidad de la medida observada (USD 1 000)","Unité de la mesure observée (USD 1 000)","2","1000","","","Value (USD 1000)","Valor (1000 USD)","Valeur (1000 USD","","FI_003","(1000 USD)"
"Q_no_1","Observed measure unit (Tonnes - live weight; number)","Unidad de la medida observada (Toneladas - peso vivo; número)","Unité de la mesure observée (Tonnes - poids vif; nombre)","3","1","","","Number","Número","Nombre","","FI_002","no"
"E_h_1","","","","4","1","","","Effort (hours)","Esfuerzo (horas)","Effort (heures)","","","h"
"Q_kg_1","","","","5","1","","","Quantity (kilograms)","Cantidad (kilogramos)","Quantité (kilogrammes)","","","kg"
"L_m_1","","","","6","1","","","Length (meters)","Eslora (metros)","Longeur (mètres)","","","m"
"Q_no_1000","Observed measure unit (Thousands)","Unidad de la medida observada (Miles)","Unité de la mesure observée (Milliers)","7","1000","","","Number (Thousand)","Número (Mil)","Nombre (Mille)","","","no"
"Q_kw_1","","","","8","1","","","Kilowatt","Kilovatio","Kilowatt","","","kw"
"Q_tlw","Observed measure unit (Tonnes - live weight)","Unidad de la medida observada (Toneladas - peso vivo)","Unité de la mesure observée (Tonnes - poids vif)","9","1","","","Tonnes - live weight","Toneladas - peso vivo","Tonnes - poids vif","","","t"
"Q_tpw","","","","10","1","Observed measure unit (Tonnes – net product weight)","Unité de la mesure observée (Tonnes – poids produit net)","Tonnes – net product weight","Toneladas – peso producto neto","Tonnes – poids produit net","Unidad de la medida observada (Toneladas – peso producto neto)","FI_001","t"
"V_LCU","","","","99","1","","","Price per kg","Price per kg","Price per kg","","FI_004","LCU"
