"Group","Member"
"30003","71"
"30004","4"
"30005","72"
"30006","1201"
"30007","1409"
"30008","1410"
"30009","5"
"30011","18"
"30012","17"
"30013","19"
"30014","23"
"30015","1006"
"30016","25"
"30017","26"
"30018","114"
"30019","115"
"30020","112"
"30021","116"
"30022","113"
"30023","1223"
"30024","118"
"30025","61"
"30026","73"
"30027","1213"
"30028","46"
"30029","47"
"30030","121"
"30031","122"
"30032","12"
"30033","117"
"30034","1207"
"30035","1295"
"30036","127"
"30039","1225"
"30040","1226"
"30041","150"
"30042","134"
"30043","152"
"30044","156"
"30045","1063"
"30046","158"
"30047","159"
"30048","199"
"30049","202"
"30050","197"
"30051","205"
"30052","198"
"30053","1224"
"30054","208"
"30056","191"
"30057","163"
"30059","207"
"30060","1208"
"30061","1214"
"30062","164"
"30063","165"
"30064","216"
"30065","217"
"30066","132"
"30067","170"
"30068","1079"
"30069","1299"
"30070","223"
"30073","1169"
"30074","1439"
"30075","1308"
"30077","1171"
"30078","1209"
"30079","1323"
"30081","1353"
"30082","1561"
"30083","1231"
"30085","393"
"30086","452"
"30087","448"
"30088","454"
"30089","461"
"30090","1469"
"30091","395"
"30092","1744"
"30093","970"
"30094","1262"
"30095","1261"
"30096","445"
"30098","1481"
"30099","1197"
"30100","515"
"30101","508"
"30102","540"
"30103","1275"
"30104","1276"
"30105","1277"
"30106","1278"
"30107","1279"
"30109","551"
"30110","1495"
"30111","1281"
"30112","552"
"30113","1283"
"30114","1395"
"30115","1285"
"30116","561"
"30117","1400"
"30118","922"
"30119","1507"
"30122","1254"
"30126","935"
"30127","1255"
"30130","1256"
"30133","984"
"30136","772"
"30137","784"
"30138","788"
"30141","625"
"30142","634"
"30143","1215"
"30144","659"
"30145","673"
"30146","642"
"30147","1531"
"30148","914"
"30149","680"
"30151","721"
"30152","725"
"30153","722"
"30154","726"
"30155","349"
"30158","700"
"30161","837"
"30163","1253"
